trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.999999745103203}",25,0,-33.07052346002579,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.9999989804129418}",20,0,-63.660434990870066,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.9999977059296062}",25,0,-147.20236078305595,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.9999959216538461}",20,0,-29.621209107821784,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
